# Program:featureCounts v1.6.2; Command:"featureCounts" "-p" "-t" "exon" "-T" "2" "-g" "gene_id" "-a" "ref-data/gencode.v35.annotation.gtf" "-o" "output/COAD/counts/expression/1d73147d-75da-4f0e-9fbc-25eaa3fe3cc6.txt" "data/bam/COAD/1d73147d-75da-4f0e-9fbc-25eaa3fe3cc6/b8f29ff7-6db3-4188-97ac-8dc559923ca1_gdc_realn_rehead.bam" 
Geneid	Chr	Start	End	Strand	Length	data/bam/COAD/1d73147d-75da-4f0e-9fbc-25eaa3fe3cc6/b8f29ff7-6db3-4188-97ac-8dc559923ca1_gdc_realn_rehead.bam
ENSG00000116273.6	chr1;chr1;chr1;chr1;chr1;chr1	6613731;6613762;6616757;6619803;6621411;6622192	6614105;6614105;6616858;6620337;6624030;6622645	+;+;+;+;+;+	3632	495
ENSG00000227950.1	chr1	6834333	6834618	-	286	0
ENSG00000049246.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	7784320;7784429;7784429;7784654;7784654;7784654;7784654;7784703;7785441;7785441;7785441;7785441;7785441;7785523;7786721;7786721;7786721;7786721;7786721;7786721;7787198;7787322;7788045;7788045;7788045;7788045;7788045;7788045;7793957;7793957;7793957;7793960;7793960;7798525;7798525;7798525;7798525;7798525;7801113;7801113;7801113;7801113;7801113;7803047;7803047;7803047;7803047;7803047;7803051;7803692;7803692;7803692;7803692;7803692;7803692;7808893;7808893;7808893;7808893;7809893;7809893;7809893;7809893;7809893;7810438;7810438;7810438;7810438;7819285;7819285;7819285;7819285;7820115;7820115;7820115;7820115;7820467;7820467;7820467;7820467;7826480;7826480;7826480;7826480;7827118;7827118;7827118;7827118;7829834;7829834;7829837;7829837;7830006;7835762;7835762;7835762;7835762;7836808;7836999;7836999;7836999;7836999;7842672;7842672;7842672;7842672;7842672	7784376;7784468;7784468;7785005;7785005;7785005;7785005;7785005;7785586;7785586;7785586;7785586;7785586;7785586;7786836;7786836;7786836;7786836;7786836;7786836;7787246;7788570;7788338;7788246;7788246;7788246;7788246;7788246;7794008;7794008;7794008;7794008;7794008;7798673;7798673;7798673;7798673;7798673;7801191;7801191;7801191;7801191;7801191;7803153;7803153;7803153;7803153;7803153;7803153;7803848;7803848;7803848;7803848;7803848;7803958;7808998;7808998;7808998;7808998;7810347;7810021;7810021;7810021;7810021;7810567;7810588;7810588;7810588;7819420;7819420;7819420;7819420;7820239;7820239;7820239;7820239;7820640;7820640;7820640;7820640;7826710;7826710;7826710;7826710;7827815;7827815;7827815;7827815;7830161;7830161;7830161;7829951;7830161;7835945;7835945;7835945;7835945;7837149;7837149;7837149;7837149;7837149;7842884;7845177;7845177;7845176;7845176	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8099	104
ENSG00000229305.1	chr1;chr1;chr1;chr1	8189824;8191216;8192182;8192557	8190331;8191495;8192254;8192770	+;+;+;+	1075	0
ENSG00000162426.15	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	8317826;8324306;8324330;8325298;8325298;8325818;8325818;8330138;8330209;8330209;8330428;8335437;8335437;8335437;8335437;8336079;8337816;8337816;8337816;8339493;8339493;8339493;8343747;8343747;8343747	8318186;8324726;8324726;8325390;8325390;8326042;8326042;8330936;8330936;8330936;8330936;8335590;8335590;8335590;8335590;8336109;8337992;8337992;8337992;8339698;8339698;8339698;8344157;8344167;8344165	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2888	21
ENSG00000265141.2	chr1	8979576	8979874	-	299	0
ENSG00000252956.1	chr1	9437669	9437778	-	110	0
ENSG00000199562.1	chr1	10298966	10299072	+	107	0
ENSG00000238173.1	chr1	11232963	11233112	+	150	0
ENSG00000132879.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	11654375;11654857;11654857;11654877;11654881;11654910;11654910;11655328;11655328;11655670;11655806;11655806;11655806;11655806;11655806;11655806;11655806;11656065;11658267;11658267;11658267;11658267;11658267;11658267;11658267;11658267;11658533;11658533;11658533;11658542;11658736;11658736;11658736;11658736;11658736;11658736;11658736;11658736;11658736;11661130;11661130;11661130;11661130;11661130;11661130;11661130;11661130;11662625;11662625;11662852;11663142	11654581;11654952;11654952;11654952;11654952;11654952;11654952;11655699;11655699;11655699;11656100;11656100;11656100;11656100;11656100;11656100;11656100;11656100;11658364;11658364;11658364;11658393;11658364;11658393;11658364;11658364;11658628;11658628;11658628;11658628;11658871;11658871;11658871;11658871;11658871;11658871;11658871;11658871;11658868;11661308;11661308;11662291;11661391;11661349;11663327;11663327;11662289;11663117;11662731;11662928;11663324	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3527	357
ENSG00000270620.1	chr1	15917698	15917908	-	211	0
